framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,134217728,0.8260000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,268435456,1.6118
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,512,0.00889
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,1024,0.00901
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,2048,0.0091
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,4096,0.00922
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,8192,0.01011
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,16384,0.01118
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,32768,0.01174
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,65536,0.01192
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,131072,0.011960000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,262144,0.01317
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,524288,0.01558
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,1048576,0.02027
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,2097152,0.03908
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,4194304,0.04411
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,8388608,0.0593
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,16777216,0.08761000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,33554432,0.1441
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,67108864,0.24080000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,134217728,0.45330000000000004
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,268435456,0.8582000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,int8,2,536870912,1.674
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,256,0.009980000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,512,0.010050000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,1024,0.01
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,2048,0.010220000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,4096,0.01097
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,8192,0.012750000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,16384,0.01278
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,32768,0.01297
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,65536,0.01345
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,131072,0.01526
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,262144,0.019370000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,524288,0.04084
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,1048576,0.04758
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,2097152,0.05578
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,4194304,0.08713
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,8388608,0.12819999999999998
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,16777216,0.22419999999999998
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,33554432,0.3915
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,67108864,0.7475
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,134217728,1.4301
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,half,2,268435456,2.7811
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,512,0.00991
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,1024,0.010029999999999999
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,2048,0.01002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,4096,0.01038
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,8192,0.01167
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,16384,0.01317
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,32768,0.01349
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,65536,0.0135
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,131072,0.01391
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,262144,0.01625
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,524288,0.0202
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,1048576,0.04405
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,2097152,0.05194
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,4194304,0.06013
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,8388608,0.09501000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,16777216,0.1366
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,33554432,0.2348
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,67108864,0.4052
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,134217728,0.7715
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,all_reduce,NCCL,int8,2,268435456,1.4670999999999998
