framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,2,1,1,32,255,0.036864000062147774
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,64,1,1,1,511,0.067071999112765
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,1,1,1,64,255,0.036864000062147774
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,32,1,1,2,511,0.06656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,16,1,1,4,255,0.037205333511034645
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,16,1,1,4,511,0.06638933221499126
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,4,1,1,16,511,0.06621866424878438
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,8,1,1,8,511,0.06656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,1,1,1,64,511,0.06621866424878438
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,2,1,1,32,511,0.06621866424878438
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,32,1,1,2,511,0.06673066814740498
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,16,1,1,4,511,0.06656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,8,1,1,8,511,0.06638933221499126
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,64,1,1,1,511,0.06724266707897186
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,4,1,1,16,511,0.06621866424878438
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,2,1,1,32,511,0.06621866424878438
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,1,1,1,64,511,0.06604800124963124
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,64,1,1,1,1023,0.12595199545224509
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,32,1,1,2,1023,0.12492799758911133
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,8,1,1,8,1023,0.12475732962290446
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,2,1,1,32,1023,0.12475732962290446
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,16,1,1,4,1023,0.1250986655553182
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,1,1,1,64,1023,0.12492799758911133
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,4,1,1,16,1023,0.12475732962290446
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,64,1,1,1,1023,0.1256106694539388
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,32,1,1,2,1023,0.12544000148773193
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,16,1,1,4,1023,0.12492799758911133
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,8,1,1,8,1023,0.12492799758911133
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,4,1,1,16,1023,0.12475732962290446
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,2,1,1,32,1023,0.12458667159080505
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,1,1,1,64,1023,0.12458667159080505
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,64,1,1,1,2047,0.24302933613459268
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,32,1,1,2,2047,0.24217599630355835
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,8,1,1,8,2047,0.24200532833735147
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,4,1,1,16,2047,0.24712532758712769
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,16,1,1,4,2047,0.24268800020217896
