framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4096,8,0.052121597528457644
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4096,4,0.027750399708747864
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4096,2,0.017817600071430205
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4096,1,0.01157120019197464
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,6144,64,0.4597760200500488
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,6144,32,0.23592960834503174
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,6144,16,0.1230847954750061
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,6144,8,0.06399999856948853
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,6144,4,0.03317759931087494
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,6144,128,0.9156607627868653
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,6144,2,0.01955839991569519
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,6144,1,0.011878400295972823
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8192,32,0.3096575975418091
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8192,64,0.6139904022216797
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8192,128,1.2142592430114747
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8192,16,0.15912959575653077
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8192,8,0.08273919820785522
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8192,2,0.02457599937915802
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8192,1,0.020070399343967437
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8192,4,0.0419840008020401
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,1,128,0.011673600226640702
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,1,64,0.009011200070381165
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,1,32,0.007475200295448303
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,1,2,0.006143999844789505
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,1,16,0.006451199948787689
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,1,4,0.006348799914121628
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,1,1,0.006860800087451935
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,2,64,0.009728000313043595
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,2,128,0.012800000607967377
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,2,32,0.00727040022611618
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,1,8,0.006451199948787689
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,2,16,0.007065600156784058
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,2,8,0.00727040022611618
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,2,4,0.007065600156784058
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,2,2,0.007168000191450119
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,2,1,0.006860800087451935
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,4,128,0.012800000607967377
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,4,32,0.007372800260782242
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,4,8,0.007168000191450119
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,4,64,0.009830400347709656
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,4,16,0.007168000191450119
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,4,4,0.007065600156784058
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,4,2,0.007168000191450119
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,4,1,0.006860800087451935
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,8,128,0.012800000607967377
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,8,64,0.009625600278377533
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,8,16,0.007168000191450119
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,8,4,0.00727040022611618
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,8,2,0.007065600156784058
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,8,8,0.007065600156784058
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,8,1,0.007065600156784058
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,8,32,0.00727040022611618
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,16,128,0.0130048006772995
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_post,default,float16,16,64,0.009523200243711472
