framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,12288,96,8,64,0,1,float16,float16,0,59.194539388020836
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,12288,96,96,64,0,1,float16,float16,0,60.066131591796875
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,12288,96,96,64,0,1,float16,float16,0,30.057301839192707
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,12288,96,4,64,0,1,float16,float16,0,29.753173828125
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,12288,96,1,64,0,1,float16,float16,0,15.385088602701822
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,12288,96,2,64,0,1,float16,float16,0,15.366996765136719
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,12288,96,4,64,0,1,float16,float16,0,15.351637522379557
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,12288,96,8,64,0,1,float16,float16,0,29.76324208577474
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,12288,96,8,64,0,1,float16,float16,0,15.385941823323568
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,12288,96,96,64,0,1,float16,float16,0,15.393962860107422
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,10240,96,1,64,0,1,float16,float16,0,41.35065714518229
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,10240,96,2,64,0,1,float16,float16,0,41.450154622395836
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,10240,96,4,64,0,1,float16,float16,0,41.446912129720054
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,10240,96,1,64,0,1,float16,float16,0,82.8238525390625
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,10240,96,1,64,0,1,float16,float16,0,20.942506154378254
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,10240,96,2,64,0,1,float16,float16,0,83.03411356608073
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,10240,96,4,64,0,1,float16,float16,0,83.13668314615886
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,10240,96,8,64,0,1,float16,float16,0,83.18105570475261
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,10240,96,8,64,0,1,float16,float16,0,41.457664489746094
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,10240,96,2,64,0,1,float16,float16,0,20.94199498494466
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,10240,96,96,64,0,1,float16,float16,0,21.22598393758138
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,10240,96,96,64,0,1,float16,float16,0,42.361002604166664
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,10240,96,4,64,0,1,float16,float16,0,20.968106587727863
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,10240,96,8,64,0,1,float16,float16,0,20.97390874226888
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,10240,96,1,64,0,1,float16,float16,0,10.848426818847656
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,10240,96,2,64,0,1,float16,float16,0,10.90542984008789
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,10240,96,4,64,0,1,float16,float16,0,10.875391642252604
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,10240,96,8,64,0,1,float16,float16,0,10.88494873046875
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,10240,96,96,64,0,1,float16,float16,0,10.882218678792318
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,8192,96,1,64,0,1,float16,float16,0,53.70846048990885
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,8192,96,2,64,0,1,float16,float16,0,54.19844055175781
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,8192,96,4,64,0,1,float16,float16,0,54.12062072753906
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,8192,96,1,64,0,1,float16,float16,0,26.900479634602863
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,8192,96,2,64,0,1,float16,float16,0,108.17638142903645
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,8192,96,1,64,0,1,float16,float16,0,107.6870829264323
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,8192,96,4,64,0,1,float16,float16,0,108.14003499348958
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,8192,96,8,64,0,1,float16,float16,0,108.31871541341145
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,8192,96,8,64,0,1,float16,float16,0,54.18683878580729
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,8192,96,2,64,0,1,float16,float16,0,26.97045389811198
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,8192,96,96,64,0,1,float16,float16,0,27.619158426920574
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,8192,96,96,64,0,1,float16,float16,0,55.30880228678385
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,8192,96,4,64,0,1,float16,float16,0,26.95679982503255
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,8192,96,2,64,0,1,float16,float16,0,13.690539042154947
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,8192,96,1,64,0,1,float16,float16,0,13.692757924397787
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,8192,96,8,64,0,1,float16,float16,0,27.02148183186849
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,8192,96,4,64,0,1,float16,float16,0,13.691392262776693
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,8192,96,1,64,0,1,float16,float16,0,7.161685307820638
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,8192,96,2,64,0,1,float16,float16,0,7.156735738118489
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,8192,96,96,64,0,1,float16,float16,0,13.900459289550781
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,8192,96,8,64,0,1,float16,float16,0,13.735936482747396
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,8192,96,96,64,0,1,float16,float16,0,7.207594553629558
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,8192,96,8,64,0,1,float16,float16,0,7.168511708577474
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,8192,96,4,64,0,1,float16,float16,0,7.166634877522786
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,6144,96,1,64,0,1,float16,float16,0,30.994089762369793
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,6144,96,2,64,0,1,float16,float16,0,31.184895833333332
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,6144,96,4,64,0,1,float16,float16,0,31.151446024576824
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,6144,96,1,64,0,1,float16,float16,0,15.596202850341797
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,6144,96,1,64,0,1,float16,float16,0,62.186665852864586
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,6144,96,2,64,0,1,float16,float16,0,62.79150899251302
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,6144,96,4,64,0,1,float16,float16,0,62.746114095052086
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,6144,96,8,64,0,1,float16,float16,0,62.92036437988281
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,6144,96,8,64,0,1,float16,float16,0,31.24377695719401
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,6144,96,2,64,0,1,float16,float16,0,15.602858225504557
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,6144,96,96,64,0,1,float16,float16,0,16.04420216878255
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,6144,96,1,64,0,1,float16,float16,0,7.979007720947266
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,6144,96,4,64,0,1,float16,float16,0,15.598250071207682
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,6144,96,96,64,0,1,float16,float16,0,32.28620910644531
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,6144,96,8,64,0,1,float16,float16,0,15.620095570882162
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,6144,96,2,64,0,1,float16,float16,0,8.037888209025065
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,6144,96,1,64,0,1,float16,float16,0,4.227413177490234
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,6144,96,96,64,0,1,float16,float16,0,8.115029017130533
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,6144,96,2,64,0,1,float16,float16,0,4.243285179138184
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,6144,96,4,64,0,1,float16,float16,0,4.2248531977335615
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,6144,96,4,64,0,1,float16,float16,0,7.986517588297526
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,6144,96,8,64,0,1,float16,float16,0,8.007338841756185
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,6144,96,96,64,0,1,float16,float16,0,4.231509208679199
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,6144,96,8,64,0,1,float16,float16,0,4.25984001159668
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,4096,96,1,64,0,1,float16,float16,0,29.167444864908855
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,4096,96,2,64,0,1,float16,float16,0,29.515775044759113
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,4096,96,4,64,0,1,float16,float16,0,29.556223551432293
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,4096,96,1,64,0,1,float16,float16,0,14.4901123046875
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,4096,96,1,64,0,1,float16,float16,0,58.40349833170573
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,4096,96,4,64,0,1,float16,float16,0,59.25359090169271
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,4096,96,2,64,0,1,float16,float16,0,59.088724772135414
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,4096,96,8,64,0,1,float16,float16,0,29.72381846110026
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,4096,96,8,64,0,1,float16,float16,0,59.385345458984375
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,4096,96,2,64,0,1,float16,float16,0,14.543018341064453
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,4096,96,96,64,0,1,float16,float16,0,15.238656361897787
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,4096,96,4,64,0,1,float16,float16,0,14.483455657958984
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,4096,96,1,64,0,1,float16,float16,0,7.352149327596028
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,4096,96,4,64,0,1,float16,float16,0,7.382528305053711
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,4096,96,2,64,0,1,float16,float16,0,7.350954691569011
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,4096,96,8,64,0,1,float16,float16,0,14.520149230957031
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,4096,96,1,64,0,1,float16,float16,0,3.8027947743733725
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,4096,96,8,64,0,1,float16,float16,0,7.355562845865886
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,4096,96,2,64,0,1,float16,float16,0,3.8285652796427407
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,4096,96,4,64,0,1,float16,float16,0,3.809109369913737
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,4096,96,96,64,0,1,float16,float16,0,7.591253280639648
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,4096,96,96,64,0,1,float16,float16,0,3.9067306518554688
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,4096,96,8,64,0,1,float16,float16,0,3.8092800776163735
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,4096,96,1,64,0,1,float16,float16,0,2.06114133199056
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,4096,96,2,64,0,1,float16,float16,0,2.077354590098063
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,4096,96,96,64,0,1,float16,float16,0,2.069162686665853
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,4096,96,4,64,0,1,float16,float16,0,2.05841064453125
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,4096,96,96,64,0,1,float16,float16,0,30.725802103678387
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,4096,96,8,64,0,1,float16,float16,0,2.065920035044352
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,3072,96,1,64,0,1,float16,float16,0,17.058645884195965
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,3072,96,4,64,0,1,float16,float16,0,17.32044855753581
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,3072,96,2,64,0,1,float16,float16,0,17.317376454671223
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,3072,96,1,64,0,1,float16,float16,0,8.562858581542969
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,3072,96,2,64,0,1,float16,float16,0,35.305643717447914
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,3072,96,4,64,0,1,float16,float16,0,35.33055877685547
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,3072,96,1,64,0,1,float16,float16,0,34.69892374674479
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,3072,96,8,64,0,1,float16,float16,0,17.44486363728841
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,3072,96,8,64,0,1,float16,float16,0,35.490132649739586
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,3072,96,2,64,0,1,float16,float16,0,8.600575764973959
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,3072,96,4,64,0,1,float16,float16,0,8.579925537109375
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,3072,96,96,64,0,1,float16,float16,0,9.017173131306967
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,3072,96,1,64,0,1,float16,float16,0,4.376234690348308
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,3072,96,2,64,0,1,float16,float16,0,4.413098653157552
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,3072,96,8,64,0,1,float16,float16,0,8.599039713541666
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,3072,96,96,64,0,1,float16,float16,0,18.50948206583659
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,3072,96,1,64,0,1,float16,float16,0,2.287445386250814
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,3072,96,2,64,0,1,float16,float16,0,2.3040000597635903
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,3072,96,4,64,0,1,float16,float16,0,2.293248017628988
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,3072,96,96,64,0,1,float16,float16,0,4.56226126352946
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,3072,96,8,64,0,1,float16,float16,0,4.392618815104167
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,3072,96,8,64,0,1,float16,float16,0,2.29529603322347
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,3072,96,4,64,0,1,float16,float16,0,4.385450681050618
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,3072,96,1,64,0,1,float16,float16,0,1.275221347808838
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,3072,96,96,64,0,1,float16,float16,0,2.3649279276529946
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,3072,96,4,64,0,1,float16,float16,0,1.274880011876424
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,3072,96,2,64,0,1,float16,float16,0,1.2683946291605632
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,3072,96,8,64,0,1,float16,float16,0,1.2702720165252686
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,3072,96,96,64,0,1,float16,float16,0,1.2702720165252686
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,2048,96,1,64,0,1,float16,float16,0,17.007445017496746
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,2048,96,4,64,0,1,float16,float16,0,17.38530095418294
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,2048,96,2,64,0,1,float16,float16,0,17.37693913777669
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,2048,96,1,64,0,1,float16,float16,0,8.33791987101237
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,64,2048,96,1,64,0,1,float16,float16,0,34.320213317871094
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,64,2048,96,2,64,0,1,float16,float16,0,34.980010986328125
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,2048,96,8,64,0,1,float16,float16,0,17.421824137369793
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,64,2048,96,4,64,0,1,float16,float16,0,35.068074544270836
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,2048,96,2,64,0,1,float16,float16,0,8.37939198811849
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,64,2048,96,8,64,0,1,float16,float16,0,35.262123107910156
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,2048,96,4,64,0,1,float16,float16,0,8.382464090983072
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,2048,96,96,64,0,1,float16,float16,0,9.134080251057943
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,2048,96,1,64,0,1,float16,float16,0,4.252671877543132
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,2048,96,2,64,0,1,float16,float16,0,4.236799875895183
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,16,2048,96,8,64,0,1,float16,float16,0,8.404138565063477
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,2048,96,4,64,0,1,float16,float16,0,4.247551918029785
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,2048,96,1,64,0,1,float16,float16,0,2.192042668660482
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,2048,96,2,64,0,1,float16,float16,0,2.191871960957845
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,32,2048,96,96,64,0,1,float16,float16,0,18.632191975911457
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,2048,96,8,64,0,1,float16,float16,0,4.251477241516113
